Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW Effective Zone Air Temperature Setpoint [C](TimeStep),EMS:IW Occp First Come Pred [](TimeStep),EMS:IW Occp Last Leave Pred [](TimeStep),EMS:IW Occp Mode [](TimeStep),EMS:IW Hot Water Supply Temperature Setpoint Action [C](TimeStep),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Average PMV [%](TimeStep),EMS:Setback Flag Sensor [](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Mass Flow Rate [kg/s](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  04:45:00,8.8,75.75,0.0,0.0,17.7028346984091,18.,12.,16.,0.0,17.7028346984091,27.5087760706347,-999.,1.,29.2769316500267,4.4390336730227,31.2706522637939,4.4390336730227 
 01/01  04:50:00,8.8,75.8333333333333,0.0,0.0,17.7508212484887,18.,12.,16.,0.0,17.7508212484887,18.3912727306918,-999.,1.,28.8826842819628,4.4390336730227,29.4989470678333,4.4390336730227 
 01/01  04:55:00,8.8,75.9166666666667,0.0,0.0,17.7840039532744,18.,12.,16.,0.0,17.7840039532744,18.2339841401502,-999.,1.,28.1656187406985,4.4390336730227,28.6477228671536,4.4390336730227 
 01/01  05:00:00,8.8,76.,0.0,0.0,17.7919015299522,18.,12.,16.,0.0,17.7919015299522,17.5802781403895,-999.,1.,27.4041821640488,4.4390336730227,27.8813330479599,4.4390336730227 
 01/01  05:05:00,8.79166666666667,76.,0.0,0.0,17.7874763386153,18.,12.,16.,0.0,17.7874763386153,16.5533534174264,-999.,1.,26.6911487272363,4.4390336730227,27.1431553721975,4.4390336730227 
 01/01  05:10:00,8.78333333333333,76.,0.0,0.0,17.7757531757274,18.,12.,16.,0.0,17.7757531757274,15.5864455956543,-999.,1.,26.0215973706985,4.4390336730227,26.446837981573,4.4390336730227 
 01/01  05:15:00,8.775,76.,0.0,0.0,17.7596267271175,18.,12.,16.,0.0,17.7596267271175,14.7570311480747,-999.,1.,25.3884207785132,4.4390336730227,25.7901131540008,4.4390336730227 
 01/01  05:20:00,8.76666666666667,76.,0.0,0.0,17.7410544276117,18.,12.,16.,0.0,17.7410544276117,13.93427223886,-999.,1.,24.7901498912545,4.4390336730227,25.1696764821102,4.4390336730227 
 01/01  05:25:00,8.75833333333333,76.,0.0,0.0,17.721135477398,18.,12.,16.,0.0,17.721135477398,13.4130800317037,-999.,1.,24.2164940618163,4.4390336730227,24.5792671058385,4.4390336730227 
 01/01  05:30:00,8.75,76.,0.0,0.0,17.7004187750216,18.,12.,16.,0.0,17.7004187750216,12.8183485322176,-999.,1.,23.6665369023473,4.4390336730227,24.0141062192114,4.4390336730227 
 01/01  05:35:00,8.74166666666667,76.,0.0,0.0,17.6794467490516,18.,12.,16.,0.0,33.7055325094839,12.2754447344335,-999.,1.,23.1408042175774,4.4390336730227,23.4732204313633,4.4390336730227 
 01/01  05:40:00,8.73333333333333,76.,0.0,0.0,17.6584581493008,18.,12.,16.,0.0,33.9154185069921,37.8221289796933,-999.,1.,33.7055325094839,4.4390336730227,28.5028046629404,4.4390336730227 
 01/01  05:45:00,8.725,76.,0.0,0.0,17.6781114436839,18.,12.,16.,0.0,33.7188855631608,52.5322340180395,-999.,1.,33.7188855631608,4.4390336730227,32.661812227723,4.4390336730227 
 01/01  05:50:00,8.71666666666667,76.,0.0,0.0,17.7425100238627,18.,12.,16.,0.0,17.7425100238627,25.9868125765815,-999.,1.,29.6128048880887,4.4390336730227,31.4352384061475,4.4390336730227 
 01/01  05:55:00,8.70833333333333,76.,0.0,0.0,17.8336938536668,18.,12.,16.,0.0,17.8336938536668,18.0267396811332,-999.,1.,29.1885815094577,4.4390336730227,29.7804536971589,4.4390336730227 
 01/01  06:00:00,8.7,76.,0.0,0.0,17.8779811824742,18.,12.,16.,0.0,17.8779811824742,17.6209273341643,-999.,1.,28.4884665858657,4.4390336730227,28.9571911186121,4.4390336730227 
 01/01  06:05:00,8.675,76.0833333333333,0.0,0.0,17.8859851269836,18.,12.,16.,0.0,17.8859851269836,16.7931725709408,-999.,1.,27.7614291769191,4.4390336730227,28.218719957747,4.4390336730227 
 01/01  06:10:00,8.65,76.1666666666667,0.0,0.0,17.8806796467467,18.,12.,16.,0.0,17.8806796467467,15.6661647063706,-999.,1.,27.086682535557,4.4390336730227,27.5155814793813,4.4390336730227 
 01/01  06:15:00,8.625,76.25,0.0,0.0,17.8690315283991,18.,12.,16.,0.0,17.8690315283991,14.5831498085124,-999.,1.,26.460021273144,4.4390336730227,26.8592023112047,4.4390336730227 
 01/01  06:20:00,8.6,76.3333333333333,0.0,0.0,17.8537322346908,18.,12.,16.,0.0,17.8537322346908,13.6102933407732,-999.,1.,25.8758243606624,4.4390336730227,26.2478236160641,4.4390336730227 
 01/01  06:25:00,8.575,76.4166666666667,0.0,0.0,17.8365964122571,18.,12.,16.,0.0,17.8365964122571,12.7436248028304,-999.,1.,25.3292527766923,4.4390336730227,25.6769960587618,4.4390336730227 
 01/01  06:30:00,8.55,76.5,0.0,0.0,17.8184696613523,18.,12.,16.,0.0,17.8184696613523,11.9057523185682,-999.,1.,24.8185525175701,4.4390336730227,25.1435054597925,4.4390336730227 
 01/01  06:35:00,8.525,76.5833333333333,0.0,0.0,17.7998270314301,18.,12.,16.,0.0,17.7998270314301,11.2437118832979,-999.,1.,24.3375413988119,4.4390336730227,24.6430836718363,4.4390336730227 
 01/01  06:40:00,8.5,76.6666666666667,0.0,0.0,17.7812086838381,18.,12.,16.,0.0,17.7812086838381,10.7104551115602,-999.,1.,23.8796091421976,4.4390336730227,24.1697203935504,4.4390336730227 
 01/01  06:45:00,8.475,76.75,0.0,0.0,17.762873061339,18.,12.,16.,0.0,17.762873061339,10.1490299151572,-999.,1.,23.4451346595253,4.4390336730227,23.720429359419,4.4390336730227 
 01/01  06:50:00,8.45,76.8333333333333,0.0,0.0,17.7450381710936,18.,12.,16.,0.0,17.7450381710936,9.62486261441824,-999.,1.,23.0337023081418,4.4390336730227,23.2945118446282,4.4390336730227 
 01/01  06:55:00,8.425,76.9166666666667,0.0,0.0,17.7277185568664,18.,12.,16.,0.0,17.7277185568664,9.13533926416064,-999.,1.,22.6434414676075,4.4390336730227,22.8907658397094,4.4390336730227 
 01/01  07:00:00,8.4,77.,3.,0.0,17.7109654726471,18.,12.,16.,0.0,17.7109654726471,8.67475636166439,-999.,1.,22.2730986989851,4.4390336730227,22.5077650367608,4.4390336730227 
 01/01  07:05:00,8.38333333333333,76.9166666666667,3.5,0.0,17.6949986177277,18.,12.,16.,0.0,33.5500138227228,8.24320138635185,-999.,1.,21.9214474404744,4.4390336730227,22.14423456563,4.4390336730227 
 01/01  07:10:00,8.36666666666667,76.8333333333333,4.,0.0,17.6797021052149,18.,12.,16.,0.0,33.7029789478509,34.9802032492237,-999.,1.,33.5500138227228,4.4390336730227,27.794494192294,4.4390336730227 
 01/01  07:15:00,8.35,76.75,4.5,0.0,17.691632967673,18.,12.,16.,0.0,33.5836703232695,48.0156653230908,-999.,1.,33.7029789478509,4.4390336730227,32.4646583258486,4.4390336730227 
 01/01  07:20:00,8.33333333333333,76.6666666666667,5.,0.0,17.7425787411267,18.,12.,16.,0.0,17.7425787411267,24.4347322142409,-999.,1.,29.4520126041842,4.4390336730227,31.3023361899514,4.4390336730227 
 01/01  07:25:00,8.31666666666667,76.5833333333333,5.5,0.0,17.7979244171768,18.,12.,16.,0.0,17.7979244171768,15.794824980787,-999.,1.,29.1590182962929,4.4390336730227,29.698850239227,4.4390336730227 
 01/01  07:30:00,8.3,76.5,6.,0.0,17.8416156306079,18.,12.,16.,0.0,17.8416156306079,15.704063310111,-999.,1.,28.5481310373836,4.4390336730227,28.9618407572444,4.4390336730227 
