time_in_sec,c
1530,-11.75555556
1531,-11.68333333
1532,-11.36111111
1533,-11.93888889
1534,-12.08333333
1535,-11.79444444
1536,-11.53888889
1537,-11.97777778
1538,-11.65
1539,-11.65
1540,-11.18333333
1541,-11.21666667
1542,-11.00555556
1543,-11.75555556
1544,-11.36111111
1545,-11.43333333
1546,-11.25555556
1547,-11.72222222
1548,-11.79444444
1549,-11.46666667
1550,-10.79444444
1551,-10.26666667
1552,-10.37222222
1553,-10.86111111
1554,-11.36111111
1555,-10.43888889
1556,-11.07777778
1557,-10.68888889
1558,-10.47777778
1559,-10.61666667
1560,-9.955555556
1561,-10.82777778
1562,-10.23333333
1563,-10.26666667
1564,-10.09444444
1565,-9.816666667
1566,-9.338888889
1567,-9.305555556
1568,-9.438888889
1569,-9.438888889
1570,-9.922222222
1571,-9.611111111
1572,-9.266666667
1573,-8.933333333
1574,-9
1575,-8.427777778
1576,-9.133333333
1577,-9.305555556
1578,-9.75
1579,-8.461111111
1580,-8.266666667
1581,-8.066666667
1582,-8.266666667
1583,-8.9
1584,-9.033333333
1585,-8.033333333
1586,-9
1587,-8.661111111
1588,-8.527777778
1589,-8.3
1590,-8.933333333
1591,-8.794444444
1592,-8.966666667
1593,-8.266666667
1594,-7.933333333
1595,-7.511111111
1596,-8.066666667
1597,-8.527777778
1598,-8.794444444
1599,-8.833333333
1600,-9.372222222
1601,-8.361111111
1602,-8.266666667
1603,-7.866666667
1604,-7.738888889
1605,-7.283333333
1606,-7.9
1607,-7.705555556
1608,-7.738888889
1609,-8.761111111
1610,-8.2
1611,-8.866666667
1612,-8.361111111
1613,-8.661111111
1614,-8.266666667
1615,-8.561111111
1616,-7.444444444
1617,-7.544444444
1618,-8.166666667
1619,-8.133333333
1620,-8.527777778
1621,-8.527777778
1622,-8.361111111
1623,-8.3
1624,-8.794444444
1625,-8.494444444
1626,-8.527777778
1627,-8.833333333
1628,-8.661111111
1629,-8.694444444
